"MS3 Format 0549.06 : MS3 pre-1.5 alpha 3   20160217 22:13GMT (c) JSM/KC ********"
"Capture Date: Sat Apr 16 17:14:00 PDT 2016"
Time	SecL	RPM	MAP	Boost psi	TPS	TPSADC	MAF	MAFload	MAF volts	MAF Freq	AFR	MAT	CLT	Engine	Batt V	EGO cor1	Fuel: Air cor	Fuel: Warmup cor	Fuel: Baro cor	Fuel: Total cor	Fuel: Accel enrich	Fuel: Accel PW	VE1	PW	Duty Cycle1	VE2	PW2	Duty Cycle2	Seq PW1	Seq PW2	Seq PW3	Seq PW4	Seq PW5	Seq PW6	Seq PW7	Seq PW8	SPK: Spark Advance	SPK: Knock retard	Knock in	SPK: Cold advance	SPK: Traction retard	SPK: CEL retard	SPK: Fuel cut retard	SPK: External advance	SPK: Base Spark Advance	SPK: Idle Correction Advance	SPK: MAT Retard	SPK: Flex Advance	SPK: Spark Table 1	SPK: Spark Table 2	SPK: Spark Table 3	SPK: Spark Table 4	SPK: Revlim Retard	SPK: ALS Timing	SPK: Launch Timing	SPK: 3-step Timing	SPK: Launch VSS Retard	Dwell	Barometer	PWM Idle duty	Closed-loop idle target RPM	Closed-loop idle RPM error	Boost duty	Boost target 1	AFR 1 Target	AFR 2 Target	AFR 1 Error	AFR 2 Error	TPSdot	MAPdot	RPMdot	Wall fuel1	Wall fuel2	EAE1	EAE2	Load	Secondary load	Ign load	Secondary ign load	EAE load	AFR load	Injector timing pri	Injector timing sec	 Sensor 16 	canin1_8	canout1_8	canout9_16	Timing err	Lost sync count	Lost sync reason	Fuel flow cc/min	VSS1	VSS2	VSS1 ms-1	VSS2 ms-1	MPG(USA)	MPG(UK)	Gear	VSS1dot	VSS2dot	Status1	Status2	Status3	Status4	Status5	Status5s	Status6	Status7	Status8	TPS accel	MAP accel	Total accel	Launch retard timer	Launch timed retard	porta	portb	porteh	portk	portmj	portp	portt	CEL status	CEL status2	CEL error code	Fuel Temp2	Fuel Pressure2_kPa	Fuel Pressure2_psi	Fuel Pressure2_bar	Fuel temperature cor	Fuel pressure cor	Engine in cruise state	Engine accelerating slowly	Engine accelerating quickly	Engine decelerating slowly	Engine decelerating quickly	Engine in overrun	Engine idling	TC slip * time	Loop	CAN error bits	CAN error count	Power	Torque
s	s	RPM	kPa		%	ADC	g/sec	kPa	V		AFR	°F	°F	bit	v	%	%	%	%	%	%	ms	%	ms	%	%	ms	%	ms	ms	ms	ms	ms	ms	ms	ms	deg	deg	%	deg	deg	deg	deg	deg	deg	deg	deg	deg	deg	deg	deg	deg	deg	deg	deg	deg	deg	ms	kPa	%	rpm	rpm	%	%	AFR	AFR			%/s	kPa/s	rpm/sec	uS	uS	%	%	kPa	%	%	%	kPa	kPa	deg	deg					%			cc/min	MPH	MPH	ms-1	ms-1				ms-2	ms-2										%	%	%	s	deg	bit	bit	bit	bit	bit	bit	bit	bit	bit	bit	°C	kPa	psi	bar	%	%												HP	lbft
0.000	128	2543	59.5	-5.7	7.0	401	0.00	0.0	0.000	30	15.10	70.6	175.6	1	13.8	103.0	99.6	100	100.5	100	100	0.000	39.5	3.265	6.9	39.5	3.265	6.9	3.189	3.189	3.189	3.189	0.000	0.000	0.000	0.000	29.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.3	0.0	0.0	0.0	29.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10	99.1	34.9	900	1643	0	180	14.9	14.9	0.2	-14.9	-0.8	16.0	30	7611	0	101	101	59.5	0.0	59.5	0.0	59.5	59.5	385.4	0.0	0.0	0	0	0	-1.0	0	0	110	28.2	28.0	12.6	12.5	16.2	19.4	3	0.0	0.0	136	0	0	0	0	0	0	0	0	0.0	0.0	0.0	32.768	0.0	0	0	87	254	128	0	213	0	0	0	37.6	139.3	20.5	1.4	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	NaN	NaN
0.113	128	2557	63.6	-5.1	7.9	407	0.00	0.0	0.000	30	15.10	70.6	175.6	1	13.8	103.0	99.6	100	100.5	100	100	0.000	39.7	3.453	7.4	39.7	3.453	7.4	3.433	3.433	3.433	3.433	0.000	0.000	0.000	0.000	29.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.3	0.0	0.0	0.0	29.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10	99.1	34.9	900	1657	0	180	14.9	14.9	0.2	-14.9	7.1	50.0	50	8031	0	104	104	63.6	0.0	63.6	0.0	63.6	63.6	385.6	0.0	0.0	0	0	0	-2.0	0	0	110	28.2	28.0	12.6	12.5	16.2	19.4	3	0.0	0.0	136	0	0	0	0	0	0	0	0	0.0	0.0	0.0	32.768	0.0	0	0	87	254	128	0	133	0	0	0	37.6	135.3	19.9	1.3	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	NaN	NaN
0.186	128	2570	69.7	-4.3	12.2	438	0.00	0.0	0.000	30	15.10	70.6	175.6	17	13.8	103.0	99.6	100	100.5	100	107	0.300	40.0	4.280	9.2	40.0	4.280	9.2	4.191	4.191	4.191	4.191	0.000	0.000	0.000	0.000	29.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.3	0.0	0.0	0.0	29.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10	99.1	34.9	900	1670	0	180	14.9	14.9	0.2	-14.9	49.8	92.0	80	9459	0	110	110	69.7	0.0	69.7	0.0	69.7	69.7	385.7	0.0	0.0	0	0	0	-1.0	0	0	110	28.2	28.0	12.6	12.5	16.2	19.4	3	0.0	0.0	136	0	0	0	0	0	0	0	0	5.0	0.0	3.6	32.768	0.0	0	0	87	254	128	0	197	0	0	0	37.6	129.2	19.0	1.3	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	NaN	NaN
0.256	128	2609	81.4	-2.6	17.1	467	0.00	0.0	0.000	30	15.20	70.6	175.6	17	13.8	103.0	99.6	100	100.5	100	107	0.400	44.3	5.451	11.9	44.3	5.451	11.9	5.380	5.380	5.380	5.380	0.000	0.000	0.000	0.000	29.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.5	0.0	0.0	0.0	29.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10	99.1	34.9	900	1709	0	180	14.8	14.8	0.4	-14.8	69.2	176.0	300	12469	0	116	116	81.4	0.0	81.4	0.0	81.4	81.4	386.1	0.0	0.0	0	0	0	2.0	0	0	110	28.4	28.0	12.7	12.5	16.4	19.6	3	0.0	0.0	136	0	0	0	0	0	0	0	0	7.2	0.0	5.1	32.768	0.0	8	0	87	254	136	0	244	0	0	0	37.6	119.1	17.5	1.2	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	NaN	NaN
0.320	128	2592	90.3	-1.3	22.0	495	0.00	0.0	0.000	30	15.20	70.6	175.6	17	13.8	100.0	99.6	100	100.5	100	107	0.400	49.5	6.082	13.1	49.5	6.082	13.1	6.011	6.011	6.011	6.011	0.000	0.000	0.000	0.000	29.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.1	0.0	0.0	0.0	29.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10	99.1	34.9	900	1692	0	180	13.2	13.2	2.0	-13.2	77.0	143.0	120	16398	0	113	113	90.3	0.0	90.3	0.0	90.3	90.3	385.9	0.0	0.0	0	0	0	-1.0	0	0	110	28.6	28.2	12.8	12.6	16.5	19.7	3	0.0	0.0	136	0	0	0	0	0	0	0	0	7.3	0.0	5.2	32.768	0.0	2	0	87	254	136	0	228	0	0	0	37.6	108.6	16.0	1.1	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	NaN	NaN
0.391	128	2639	95.6	-0.5	29.6	543	0.00	0.0	0.000	30	15.30	70.6	175.6	17	13.8	100.0	99.6	100	100.5	100	108	0.500	51.6	6.368	14.0	51.6	6.368	14.0	6.305	6.305	6.305	6.305	0.000	0.000	0.000	0.000	28.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.6	0.0	0.0	0.0	28.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10	99.1	34.9	900	1739	0	180	12.7	12.7	2.6	-12.7	103.7	81.0	250	19608	0	107	107	95.6	0.0	95.6	0.0	95.6	95.6	387.4	0.0	0.0	0	0	0	-2.0	0	0	110	28.6	28.4	12.8	12.7	16.5	19.7	3	0.1	0.1	136	0	0	0	0	0	0	0	0	8.6	0.0	6.1	32.768	0.0	8	0	87	254	128	0	213	0	0	0	37.6	103.4	15.2	1.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	NaN	NaN
0.868	128	2747	110.3	1.6	99.8	952	0.00	0.0	0.000	30	13.00	70.6	175.6	1	13.7	100.0	99.6	100	100.5	100	100	0.000	55.0	6.322	14.5	55.0	6.322	14.5	6.251	6.251	6.251	6.251	0.000	0.000	0.000	0.000	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10	99.1	34.9	900	1847	65	180	12.3	12.3	0.7	-12.3	3.4	22.0	-120	25061	0	97	97	110.3	0.0	110.3	0.0	110.3	110.3	392.5	0.0	0.0	0	0	0	2.0	0	0	133	30.2	29.8	13.5	13.3	14.4	17.2	3	0.4	0.3	136	0	0	0	0	0	0	0	0	0.0	0.0	0.0	32.768	0.0	4	0	215	254	128	0	229	0	0	0	37.6	88.6	13.0	0.9	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	NaN	NaN
0.912	128	2796	113.5	2.1	99.8	952	0.00	0.0	0.000	30	13.10	70.6	175.6	1	13.7	100.0	99.6	100	100.5	100	100	0.000	55.5	6.665	15.5	55.5	6.665	15.5	6.594	6.594	6.594	6.594	0.000	0.000	0.000	0.000	24.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.1	0.0	0.0	0.0	24.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10	99.1	34.9	900	1896	65	180	12.3	12.3	0.8	-12.3	0.0	18.0	100	24707	0	99	99	113.5	0.0	113.5	0.0	113.5	113.5	394.0	0.0	0.0	0	0	0	-2.0	0	0	133	30.9	30.4	13.8	13.6	14.7	17.6	3	0.4	0.3	136	0	0	0	0	0	0	0	0	0.0	0.0	0.0	32.768	0.0	4	0	215	254	136	8	132	0	0	0	37.6	85.3	12.5	0.8	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	NaN	NaN
0.965	129	2828	114.4	2.2	100.0	953	0.00	0.0	0.000	30	13.10	70.6	175.6	1	13.7	100.0	99.6	100	100.5	100	100	0.000	55.9	6.767	15.9	55.9	6.767	15.9	6.693	6.693	6.693	6.693	0.000	0.000	0.000	0.000	23.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.8	0.0	0.0	0.0	23.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10	99.1	34.9	900	1928	65	180	12.3	12.3	0.8	-12.3	3.0	17.0	80	24754	0	100	100	114.4	0.0	114.4	0.0	114.4	114.4	394.5	0.0	0.0	0	0	0	-3.0	0	0	133	31.1	30.6	13.9	13.7	14.8	17.7	3	0.4	0.3	136	0	0	0	0	0	0	0	0	0.0	0.0	0.0	32.768	0.0	8	0	87	254	128	8	165	0	0	0	37.6	84.4	12.4	0.8	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	NaN	NaN
1.023	129	2848	115.2	2.3	100.0	952	0.00	0.0	0.000	30	13.20	70.6	175.6	1	13.7	100.0	99.6	100	100.5	100	100	0.000	56.3	6.873	16.3	56.3	6.873	16.3	6.794	6.794	6.794	6.794	0.000	0.000	0.000	0.000	23.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.6	0.0	0.0	0.0	23.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10	99.1	34.9	900	1948	65	180	12.3	12.3	0.9	-12.3	0.4	19.0	290	24990	0	100	100	115.2	0.0	115.2	0.0	115.2	115.2	394.9	0.0	0.0	0	0	0	-3.0	0	0	133	31.3	30.9	14.0	13.8	14.9	17.8	3	0.6	0.5	136	0	0	0	0	0	0	0	0	0.0	0.0	0.0	32.768	0.0	0	0	87	254	136	8	229	0	0	0	37.6	83.6	12.3	0.8	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	NaN	NaN
1.085	129	2886	116.4	2.5	99.8	952	0.00	0.0	0.000	30	13.40	70.6	175.6	1	13.7	100.0	99.6	100	100.5	100	100	0.000	56.9	6.933	16.7	56.9	6.933	16.7	6.866	6.866	6.866	6.866	0.000	0.000	0.000	0.000	23.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.3	0.0	0.0	0.0	23.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10	99.1	34.9	900	1986	65	180	12.2	12.2	1.2	-12.2	-2.5	15.0	60	25224	0	99	99	116.4	0.0	116.4	0.0	116.4	116.4	395.7	0.0	0.0	0	0	0	3.0	0	0	133	31.5	31.1	14.1	13.9	15.0	18.0	3	0.6	0.5	136	0	0	0	0	0	0	0	0	0.0	0.0	0.0	32.768	0.0	0	1	87	254	136	0	192	0	0	0	37.6	82.5	12.1	0.8	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	NaN	NaN
1.148	129	2908	117.1	2.6	99.8	952	0.00	0.0	0.000	30	13.40	70.6	175.6	1	13.7	100.0	99.6	100	100.5	100	100	0.000	57.3	6.973	16.9	57.3	6.973	16.9	6.969	6.969	6.969	6.969	0.000	0.000	0.000	0.000	23.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.1	0.0	0.0	0.0	23.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10	99.1	34.9	900	2008	65	180	12.2	12.2	1.2	-12.2	2.6	11.0	280	25154	0	100	100	117.1	0.0	117.1	0.0	117.1	117.1	396.1	0.0	0.0	0	0	0	-3.0	0	0	133	31.8	31.3	14.2	14.0	15.1	18.1	3	0.6	0.5	136	0	0	0	0	0	0	0	0	0.0	0.0	0.0	32.768	0.0	0	0	87	254	128	0	197	0	0	0	37.6	82.2	12.1	0.8	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	NaN	NaN
1.214	129	2941	117.9	2.7	99.8	953	0.00	0.0	0.000	30	13.40	70.6	175.6	1	13.7	100.0	99.6	100	100.5	100	100	0.000	57.8	7.166	17.6	57.8	7.166	17.6	7.104	7.104	7.104	7.104	0.000	0.000	0.000	0.000	22.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.9	0.0	0.0	0.0	22.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10	99.1	34.9	900	2041	65	180	12.2	12.2	1.2	-12.2	-2.2	18.0	0	25317	0	100	100	117.9	0.0	117.9	0.0	117.9	117.9	396.6	0.0	0.0	0	0	0	-4.0	0	0	133	32.0	31.5	14.3	14.1	15.2	18.2	3	0.8	0.7	136	0	0	0	0	0	0	0	0	0.0	0.0	0.0	32.768	0.0	8	0	87	254	128	8	213	0	0	0	37.6	80.9	11.9	0.8	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	NaN	NaN
1.276	129	2968	118.4	2.8	99.8	952	0.00	0.0	0.000	30	13.40	70.6	175.6	1	13.7	100.0	99.6	100	100.5	100	100	0.000	58.1	7.223	17.9	58.1	7.223	17.9	7.143	7.143	7.143	7.143	0.000	0.000	0.000	0.000	22.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.8	0.0	0.0	0.0	22.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10	99.1	34.9	900	2068	65	180	12.2	12.2	1.2	-12.2	-1.2	7.0	320	25648	0	100	100	118.4	0.0	118.4	0.0	118.4	118.4	397.0	0.0	0.0	0	0	0	-3.0	0	0	133	32.4	32.0	14.5	14.3	15.4	18.5	3	0.8	0.7	136	0	0	0	0	0	0	0	0	0.0	0.0	0.0	32.768	0.0	0	0	215	254	128	8	245	0	0	0	37.6	80.5	11.8	0.8	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	NaN	NaN
1.340	129	2999	118.8	2.9	100.0	953	0.00	0.0	0.000	30	13.40	70.7	175.6	1	13.7	100.0	99.6	100	100.5	100	100	0.000	58.6	7.290	18.2	58.6	7.290	18.2	7.181	7.181	7.181	7.181	0.000	0.000	0.000	0.000	22.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.6	0.0	0.0	0.0	22.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10	99.1	34.9	900	2099	65	180	12.2	12.2	1.2	-12.2	0.7	9.0	70	25900	0	100	100	118.8	0.0	118.8	0.0	118.8	118.8	397.4	0.0	0.0	0	0	0	-4.0	0	0	133	32.7	32.2	14.6	14.4	15.6	18.6	3	0.8	0.7	136	0	0	0	0	0	0	0	0	0.0	0.0	0.0	32.768	0.0	1	0	87	254	128	0	197	0	0	0	37.7	80.2	11.8	0.8	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	NaN	NaN
1.409	129	3027	119.3	2.9	100.0	952	0.00	0.0	0.000	30	13.30	70.7	175.6	1	13.7	100.0	99.6	100	100.5	100	100	0.000	58.9	7.350	18.5	58.9	7.350	18.5	7.254	7.254	7.254	7.254	0.000	0.000	0.000	0.000	22.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.5	0.0	0.0	0.0	22.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10	99.1	34.9	900	2127	65	180	12.2	12.2	1.1	-12.2	1.7	5.0	370	26063	0	100	100	119.3	0.0	119.3	0.0	119.3	119.3	397.6	0.0	0.0	0	0	0	3.0	0	0	133	33.1	32.4	14.8	14.5	15.8	18.9	3	1.1	1.0	136	0	0	0	0	0	0	0	0	0.0	0.0	0.0	32.768	0.0	0	0	87	254	136	8	208	0	0	0	37.6	79.6	11.7	0.8	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	NaN	NaN
1.478	129	3069	119.8	3.0	100.0	953	0.00	0.0	0.000	30	13.20	70.7	175.6	1	13.7	100.0	99.6	100	100.5	100	100	0.000	59.5	7.375	18.9	59.5	7.375	18.9	7.325	7.325	7.325	7.325	0.000	0.000	0.000	0.000	22.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.4	0.0	0.0	0.0	22.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10	99.1	34.9	900	2169	65	180	12.2	12.2	1.0	-12.2	1.1	7.0	260	25938	0	99	99	119.8	0.0	119.8	0.0	119.8	119.8	397.7	0.0	0.0	0	0	0	3.0	0	0	133	33.6	32.9	15.0	14.7	16.0	19.1	3	1.1	1.0	136	0	0	0	0	0	0	0	0	0.0	0.0	0.0	32.768	0.0	0	0	215	254	136	8	180	0	0	0	37.6	79.2	11.6	0.8	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	NaN	NaN
1.547	129	3085	120.1	3.0	99.8	952	0.00	0.0	0.000	30	13.20	70.7	175.6	1	13.7	100.0	99.6	100	100.5	100	100	0.000	59.7	7.446	19.1	59.7	7.446	19.1	7.372	7.372	7.372	7.372	0.000	0.000	0.000	0.000	22.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.3	0.0	0.0	0.0	22.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10	99.1	34.9	900	2185	65	180	12.2	12.2	1.0	-12.2	-1.3	7.0	320	26024	0	100	100	120.1	0.0	120.1	0.0	120.1	120.1	397.8	0.0	0.0	0	0	0	-4.0	0	0	133	33.8	33.3	15.1	14.9	16.1	19.2	3	1.1	1.0	136	0	0	0	0	0	0	0	0	0.0	0.0	0.0	32.768	0.0	2	0	87	254	136	0	181	0	0	0	37.6	78.8	11.6	0.8	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	NaN	NaN
1.616	129	3125	120.6	3.1	100.0	952	0.00	0.0	0.000	30	13.10	70.7	175.6	1	13.7	100.0	99.6	100	100.5	100	100	0.000	60.2	7.525	19.6	60.2	7.525	19.6	7.438	7.438	7.438	7.438	0.000	0.000	0.000	0.000	22.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.2	0.0	0.0	0.0	22.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10	99.1	34.9	900	2225	65	180	12.2	12.2	0.9	-12.2	2.8	10.0	290	26175	0	99	99	120.6	0.0	120.6	0.0	120.6	120.6	397.9	0.0	0.0	0	0	0	-4.0	0	0	133	34.0	33.6	15.2	15.0	16.2	19.4	3	1.3	1.2	136	0	0	0	0	0	0	0	0	0.0	0.0	0.0	32.768	0.0	1	0	87	254	128	8	149	0	0	0	37.6	78.2	11.5	0.8	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	NaN	NaN
1.686	129	3151	120.5	3.1	100.0	953	0.00	0.0	0.000	30	13.10	70.7	175.6	1	13.7	100.0	99.6	100	100.5	100	100	0.000	60.4	7.532	19.8	60.4	7.532	19.8	7.461	7.461	7.461	7.461	0.000	0.000	0.000	0.000	22.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.2	0.0	0.0	0.0	22.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10	99.1	34.9	900	2251	65	180	12.2	12.2	0.9	-12.2	0.9	0.0	330	26209	0	100	100	120.5	0.0	120.5	0.0	120.5	120.5	397.9	0.0	0.0	0	0	0	-3.0	0	0	197	34.4	34.0	15.4	15.2	11.1	13.3	3	1.3	1.2	136	0	0	0	0	0	0	0	0	0.0	0.0	0.0	32.768	0.0	8	0	87	254	128	8	165	0	0	0	37.6	78.3	11.5	0.8	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	NaN	NaN
1.750	129	3194	120.5	3.1	100.0	953	0.00	0.0	0.000	30	13.00	70.7	175.6	1	13.7	100.0	99.6	100	100.5	100	100	0.000	60.8	7.497	20.0	60.8	7.497	20.0	7.426	7.426	7.426	7.426	0.000	0.000	0.000	0.000	22.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.2	0.0	0.0	0.0	22.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10	99.1	34.9	900	2294	65	180	12.2	12.2	0.8	-12.2	2.2	-1.0	410	26190	0	98	98	120.5	0.0	120.5	0.0	120.5	120.5	397.9	0.0	0.0	0	0	0	3.0	0	0	197	34.9	34.2	15.6	15.3	11.2	13.4	3	1.3	1.2	136	0	0	0	0	0	0	0	0	0.0	0.0	0.0	32.768	0.0	4	1	87	254	136	0	160	0	0	0	37.6	78.3	11.5	0.8	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	NaN	NaN
1.820	129	3227	120.5	3.1	99.8	952	0.00	0.0	0.000	30	13.10	70.7	175.6	1	13.7	100.0	99.6	100	100.5	100	100	0.000	61.1	7.601	20.4	61.1	7.601	20.4	7.530	7.530	7.530	7.530	0.000	0.000	0.000	0.000	22.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.2	0.0	0.0	0.0	22.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10	99.1	34.9	900	2327	65	180	12.2	12.2	0.9	-12.2	-2.9	0.0	330	25917	0	99	99	120.5	0.0	120.5	0.0	120.5	120.5	397.9	0.0	0.0	0	0	0	3.0	0	0	197	35.1	34.7	15.7	15.5	11.3	13.5	3	1.4	1.3	136	0	0	0	0	0	0	0	0	0.0	0.0	0.0	32.768	0.0	2	0	87	254	136	8	148	0	0	0	37.6	78.3	11.5	0.8	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	NaN	NaN
1.884	129	3244	120.5	3.1	99.8	952	0.00	0.0	0.000	30	13.00	70.7	175.6	1	13.7	100.0	99.6	100	100.5	100	100	0.000	61.3	7.632	20.6	61.3	7.632	20.6	7.559	7.559	7.559	7.559	0.000	0.000	0.000	0.000	22.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.2	0.0	0.0	0.0	22.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10	99.1	34.9	900	2344	65	180	12.2	12.2	0.8	-12.2	2.0	0.0	340	25960	0	100	100	120.5	0.0	120.5	0.0	120.5	120.5	397.9	0.0	0.0	0	0	0	-3.0	0	0	197	35.6	35.1	15.9	15.7	11.4	13.7	3	1.4	1.3	136	0	0	0	0	0	0	0	0	0.0	0.0	0.0	32.768	0.0	2	0	87	254	128	8	245	0	0	0	37.6	78.3	11.5	0.8	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	NaN	NaN
1.954	129	3288	120.5	3.1	100.0	953	0.00	0.0	0.000	30	13.00	70.7	175.6	1	13.7	100.0	99.6	100	100.5	100	100	0.000	61.8	7.614	20.9	61.8	7.614	20.9	7.571	7.571	7.571	7.571	0.000	0.000	0.000	0.000	22.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.2	0.0	0.0	0.0	22.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10	99.1	34.9	900	2388	65	180	12.2	12.2	0.8	-12.2	-1.1	0.0	420	25908	0	99	99	120.5	0.0	120.5	0.0	120.5	120.5	397.9	0.0	0.0	0	0	0	-4.0	0	0	197	35.8	35.3	16.0	15.8	11.5	13.8	3	1.4	1.3	136	0	0	0	0	0	0	0	0	0.0	0.0	0.0	32.768	0.0	1	0	87	254	128	0	149	0	0	0	37.6	78.3	11.5	0.8	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	NaN	NaN
2.027	130	3314	120.5	3.1	99.8	952	0.00	0.0	0.000	30	12.90	70.7	175.6	1	13.7	100.0	99.6	100	100.5	100	100	0.000	61.8	7.665	21.2	61.8	7.665	21.2	7.596	7.596	7.596	7.596	0.000	0.000	0.000	0.000	22.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.2	0.0	0.0	0.0	22.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10	99.1	34.9	900	2414	65	180	12.2	12.2	0.7	-12.2	-1.3	0.0	330	25769	0	99	99	120.5	0.0	120.5	0.0	120.5	120.5	397.9	0.0	0.0	0	0	0	-5.0	0	0	197	36.2	35.6	16.2	15.9	11.6	13.9	3	1.6	1.4	136	0	0	0	0	0	0	0	0	0.0	0.0	0.0	32.768	0.0	0	0	87	254	136	8	132	0	0	0	37.6	78.3	11.5	0.8	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	NaN	NaN
2.101	130	3362	120.5	3.1	99.8	952	0.00	0.0	0.000	30	13.00	70.7	175.6	1	13.7	100.0	99.6	100	100.5	100	100	0.000	61.6	7.611	21.3	61.6	7.611	21.3	7.540	7.540	7.540	7.540	0.000	0.000	0.000	0.000	22.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.2	0.0	0.0	0.0	22.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10	99.1	34.9	900	2462	65	180	12.2	12.2	0.8	-12.2	-0.3	0.0	370	25266	0	99	99	120.5	0.0	120.5	0.0	120.5	120.5	397.9	0.0	0.0	0	0	0	4.0	0	0	197	36.7	36.0	16.4	16.1	11.8	14.1	3	1.6	1.4	136	0	0	0	0	0	0	0	0	0.0	0.0	0.0	32.768	0.0	1	0	87	254	136	8	148	0	0	0	37.7	78.4	11.5	0.8	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	NaN	NaN
